,audio_status,audio_status_time
602,1,1456.306973822
603,1,1456.307615282
604,1,1456.308240466
605,1,1456.308904462
606,1,1456.319563164
607,1,1456.320382342
608,1,1456.321022855
609,1,1456.321631811
610,1,1456.322210726
611,1,1456.322834265
612,1,1456.323492074
613,1,1456.324124683
614,1,1456.324741581
615,1,1456.325448591
616,1,1456.326118553
617,1,1456.336999582
618,1,1456.337996192
619,1,1456.338744462
620,1,1456.339471318
621,1,1456.340147676
622,1,1456.340959566
623,1,1456.341621115
624,1,1456.342356662
625,1,1456.343028341
626,1,1456.34366648
627,1,1456.344322758
628,1,1456.352781754
629,1,1456.353584341
630,1,1456.354216934
631,1,1456.354858356
632,1,1456.355492193
633,1,1456.35612759
634,1,1456.356760576
635,1,1456.35739371
636,1,1456.357997906
637,1,1456.358595045
638,1,1456.359198263
639,1,1456.369789659
640,1,1456.370688817
641,1,1456.371416036
642,1,1456.372077315
643,1,1456.372688676
644,1,1456.373351391
645,1,1456.373951994
646,1,1456.374586246
647,1,1456.37522026
648,1,1456.375828732
649,1,1456.376472505
650,1,1456.385826082
651,1,1456.386573952
652,1,1456.387173413
653,1,1456.387742014
654,1,1456.38837897
655,1,1456.389007606
656,1,1456.38962957
657,1,1456.390258581
658,1,1456.390857032
659,1,1456.391499464
660,1,1456.392103957
661,1,1456.402589554
662,1,1456.403379405
663,1,1456.404053632
664,1,1456.404664079
665,1,1456.405273544
666,1,1456.405899881
667,1,1456.40661038
668,1,1456.407289179
669,1,1456.407911641
670,1,1456.408552116
671,1,1456.409180859
672,1,1456.419931874
673,1,1456.420750897
674,1,1456.421389344
675,1,1456.422094313
676,1,1456.422779595
677,1,1456.42345308
678,1,1456.424176359
679,1,1456.424833495
680,1,1456.425509926
681,1,1456.426181216
682,1,1456.426813304
683,1,1456.436044155
684,1,1456.43686522
685,1,1456.437552573
686,1,1456.438295397
687,1,1456.438895872
688,1,1456.439567584
689,1,1456.440186221
690,1,1456.440759821
691,1,1456.441418257
692,1,1456.442049822
693,1,1456.442679244
694,1,1456.452617231
695,1,1456.453417105
696,1,1456.453979737
697,1,1456.454608546
698,1,1456.455228861
699,1,1456.455860599
700,1,1456.456462029
701,1,1456.457055497
702,1,1456.457733942
703,1,1456.458361962
704,1,1456.459046
705,1,1456.46929901
706,1,1456.470119707
707,1,1456.470744635
708,1,1456.471353316
709,1,1456.472046902
710,1,1456.472650534
711,1,1456.47333382
712,1,1456.473987574
713,1,1456.474621505
714,1,1456.475203156
715,1,1456.475848485
716,1,1456.486233382
717,1,1456.486984919
718,1,1456.487589746
719,1,1456.488150421
720,1,1456.488780701
721,1,1456.489378577
722,1,1456.48999811
723,1,1456.490610364
724,1,1456.491222665
725,1,1456.491782261
726,1,1456.492424727
727,1,1456.503023793
728,1,1456.50382378
729,1,1456.504453603
730,1,1456.50509984
731,1,1456.505734739
732,1,1456.506378337
733,1,1456.507095196
734,1,1456.507760057
735,1,1456.508341424
736,1,1456.509044199
737,1,1456.509807189
738,1,1456.519383159
739,1,1456.52024179
740,1,1456.520888325
741,1,1456.521619473
742,1,1456.52227152
743,1,1456.52300798
744,1,1456.523685634
745,1,1456.524366299
746,1,1456.525042099
747,1,1456.525764077
748,1,1456.526439211
749,1,1456.535991921
750,1,1456.53670722
751,1,1456.537335171
752,1,1456.537976121
753,1,1456.538582214
754,1,1456.539203113
755,1,1456.539840384
756,1,1456.540520786
757,1,1456.541172062
758,1,1456.541802856
759,1,1456.542416836
760,1,1456.552839646
761,1,1456.55370419
762,1,1456.554342881
763,1,1456.55506059
764,1,1456.555727614
765,1,1456.556354066
766,1,1456.55708878
767,1,1456.557689702
768,1,1456.55830096
769,1,1456.558921744
770,1,1456.559575222
771,1,1456.569265226
772,1,1456.57010798
773,1,1456.570855224
774,1,1456.571578497
775,1,1456.572184297
776,1,1456.572820951
777,1,1456.573412763
778,1,1456.574044994
779,1,1456.574676176
780,1,1456.575305076
781,1,1456.575942639
782,1,1456.585986063
783,1,1456.586723827
784,1,1456.58737087
785,1,1456.5880135
786,1,1456.588649946
787,1,1456.589289473
788,1,1456.589996743
789,1,1456.590607666
790,1,1456.5912359
791,1,1456.5918752
792,1,1456.59250359
793,1,1456.603101146
794,1,1456.603874833
795,1,1456.604498324
796,1,1456.605112
797,1,1456.605697274
798,1,1456.606395876
799,1,1456.607009402
800,1,1456.607691437
801,1,1456.608364312
802,1,1456.609021842
803,1,1456.609670121
804,1,1456.635222992
805,1,1456.641486049
806,1,1456.647218802
807,1,1456.64894707
808,1,1456.649612917
809,1,1456.650356315
