,audio_status,audio_status_time,audio_status_realtime,audio_status_trialtime
6678,1,3626.843304067,08:24:25:068669,10.674348854198797
6679,1,3626.844071331,08:24:25:069432,10.675151017198914
6680,1,3626.844798226,08:24:25:070159,10.675873593198958
6681,1,3626.845481455,08:24:25:070842,10.676556472199081
6682,1,3626.846129833,08:24:25:071490,10.677203618198746
6683,1,3626.846762574,08:24:25:072123,10.677843834198939
6684,1,3626.847398373,08:24:25:072760,10.678476668198982
6685,1,3626.848060703,08:24:25:073423,10.679153463198872
6686,1,3626.848825543,08:24:25:074187,10.679916398199111
6687,1,3626.849465976,08:24:25:074827,10.680549718199018
6688,1,3626.85011909,08:24:25:075481,10.681233356198845
6689,1,3626.859852861,08:24:25:085218,10.690896944198812
6690,1,3626.860670299,08:24:25:086031,10.691743509199114
6691,1,3626.861329667,08:24:25:086690,10.692396757198821
6692,1,3626.861967863,08:24:25:087328,10.693032661198686
6693,1,3626.862612946,08:24:25:087973,10.693680474199027
6694,1,3626.863254772,08:24:25:088615,10.694325794198903
6695,1,3626.863902169,08:24:25:089264,10.694982614199034
6696,1,3626.864584126,08:24:25:089945,10.695660636198681
6697,1,3626.865294886,08:24:25:090659,10.696396560198991
6698,1,3626.865994869,08:24:25:091358,10.697113063198685
6699,1,3626.866827375,08:24:25:092191,10.697929960198962
6700,1,3626.876701101,08:24:25:102066,10.707745388198873
6701,1,3626.877587939,08:24:25:102950,10.708667612198951
6702,1,3626.878289564,08:24:25:103652,10.709376701198835
6703,1,3626.879004486,08:24:25:104367,10.71012767719867
6704,1,3626.879734304,08:24:25:105097,10.710816596199038
6705,1,3626.880464711,08:24:25:105828,10.711563184198894
6706,1,3626.881187734,08:24:25:106550,10.712268030199084
6707,1,3626.881873009,08:24:25:107235,10.712950092198753
6708,1,3626.882543809,08:24:25:107905,10.713640184198994
6709,1,3626.883268831,08:24:25:108631,10.714353374198708
6710,1,3626.883915496,08:24:25:109277,10.71500109419867
6711,1,3626.893390892,08:24:25:118757,10.724435349198757
6712,1,3626.894265613,08:24:25:119630,10.725395732199104
6713,1,3626.895035459,08:24:25:120399,10.726126573199053
6714,1,3626.896033104,08:24:25:121397,10.727120908198685
6715,1,3626.896723006,08:24:25:122085,10.727795621198766
6716,1,3626.897384652,08:24:25:122747,10.72846238819875
6717,1,3626.898062511,08:24:25:123425,10.729137731198989
6718,1,3626.89873657,08:24:25:124099,10.729824394199113
6719,1,3626.899452933,08:24:25:124816,10.730535071199029
6720,1,3626.900109382,08:24:25:125472,10.731188638199
6721,1,3626.900739459,08:24:25:126102,10.731818590199055
6722,1,3626.910331124,08:24:25:135717,10.741375108199009
6723,1,3626.911224971,08:24:25:136589,10.742316013198888
6724,1,3626.911898535,08:24:25:137263,10.742994876198736
6725,1,3626.91267409,08:24:25:138038,10.743822631198782
6726,1,3626.913470765,08:24:25:138835,10.744571040198934
6727,1,3626.914218285,08:24:25:139583,10.74531253819896
6728,1,3626.914916251,08:24:25:140281,10.746090433198788
6729,1,3626.915730735,08:24:25:141096,10.746860387198922
6730,1,3626.916491511,08:24:25:141855,10.74764147319911
6731,1,3626.917278901,08:24:25:142644,10.748379226198722
6732,1,3626.918035849,08:24:25:143402,10.74917181419869
6733,1,3626.926771884,08:24:25:152139,10.757816159198683
6734,1,3626.9276851,08:24:25:153049,10.758775144198808
6735,1,3626.928443245,08:24:25:153808,10.75954271019873
6736,1,3626.929218031,08:24:25:154583,10.760309794198747
6737,1,3626.92994098,08:24:25:155304,10.761021182198874
6738,1,3626.930665019,08:24:25:156029,10.761752062198866
6739,1,3626.931347262,08:24:25:156712,10.762440138199054
6740,1,3626.932017587,08:24:25:157381,10.763137639198703
6741,1,3626.932803656,08:24:25:158169,10.76394358619882
6742,1,3626.933607061,08:24:25:158971,10.764695590198698
6743,1,3626.934393345,08:24:25:159758,10.765480986198781
6744,1,3626.943667622,08:24:25:169034,10.774711941198802
6745,1,3626.944675865,08:24:25:170041,10.775775318199067
6746,1,3626.945463022,08:24:25:170829,10.776560991198949
6747,1,3626.946166859,08:24:25:171533,10.777262292198884
6748,1,3626.946848032,08:24:25:172214,10.777948468198701
6749,1,3626.947574462,08:24:25:172939,10.778726619199006
6750,1,3626.948427096,08:24:25:173793,10.779522548199111
6751,1,3626.949186379,08:24:25:174551,10.780324428199037
6752,1,3626.949988825,08:24:25:175354,10.781104709199099
6753,1,3626.95075771,08:24:25:176123,10.7818852391988
6754,1,3626.9515101,08:24:25:176875,10.782604831199023
6755,1,3626.960041783,08:24:25:185409,10.791085667198786
6756,1,3626.960790384,08:24:25:186155,10.79188385919906
6757,1,3626.96146357,08:24:25:186828,10.792549340199002
6758,1,3626.962210111,08:24:25:187575,10.793352639198929
6759,1,3626.963014731,08:24:25:188397,10.79411461719883
6760,1,3626.963662204,08:24:25:189026,10.794760781198875
6761,1,3626.964346153,08:24:25:189712,10.79544029319868
6762,1,3626.965092656,08:24:25:190458,10.796191858199109
6763,1,3626.965777791,08:24:25:191144,10.796873874198809
6764,1,3626.966512189,08:24:25:191877,10.797595131198705
6765,1,3626.967251273,08:24:25:192616,10.798335117198803
6766,1,3626.977042825,08:24:25:202410,10.808086860198728
6767,1,3626.977961772,08:24:25:203328,10.80906227819878
6768,1,3626.97864994,08:24:25:204016,10.809736796199104
6769,1,3626.979341632,08:24:25:204708,10.81049007819911
6770,1,3626.980106895,08:24:25:205473,10.811242988198956
6771,1,3626.980880929,08:24:25:206253,10.812019981198773
6772,1,3626.981636177,08:24:25:207002,10.812732932198742
6773,1,3626.982385813,08:24:25:207752,10.813484092198905
6774,1,3626.983112966,08:24:25:208479,10.814198516198758
6775,1,3626.983802265,08:24:25:209169,10.814999518198874
6776,1,3626.984617392,08:24:25:210003,10.815733623198867
6777,1,3626.993681059,08:24:25:219053,10.824726433198975
6778,1,3626.994596926,08:24:25:219963,10.8256947441987
6779,1,3626.995365686,08:24:25:220733,10.82646494419896
6780,1,3626.996107326,08:24:25:221487,10.827223476198924
6781,1,3626.996815486,08:24:25:222181,10.82795882219898
6782,1,3626.997661146,08:24:25:223027,10.828755946198726
6783,1,3626.998400833,08:24:25:223767,10.829521454199039
6784,1,3626.999177135,08:24:25:224544,10.830273171198769
6785,1,3626.999893302,08:24:25:225259,10.831015694198868
6786,1,3627.000716262,08:24:25:226083,10.831814221198783
6787,1,3627.001403257,08:24:25:226770,10.832499942198865
6788,1,3627.010544012,08:24:25:235919,10.841591347199028
6789,1,3627.011422829,08:24:25:236790,10.842555027199069
6790,1,3627.0122617,08:24:25:237628,10.84335839419873
6791,1,3627.012996592,08:24:25:238364,10.844252156198763
6792,1,3627.013932573,08:24:25:239300,10.845068781198734
6793,1,3627.014807873,08:24:25:240176,10.845908958198834
6794,1,3627.015594464,08:24:25:240961,10.846693072198832
6795,1,3627.016328932,08:24:25:241695,10.847421411198866
6796,1,3627.017036105,08:24:25:242402,10.848117746199023
6797,1,3627.017764614,08:24:25:243132,10.848899584198989
6798,1,3627.018576072,08:24:25:243944,10.849669497199102
6799,1,3627.02721909,08:24:25:252588,10.858263150199036
6800,1,3627.028169789,08:24:25:253538,10.859270467198712
6801,1,3627.029012793,08:24:25:254380,10.860098296198885
6802,1,3627.029784609,08:24:25:255151,10.860918020198824
6803,1,3627.030579696,08:24:25:255946,10.861669781198998
6804,1,3627.031276211,08:24:25:256643,10.862365992199102
6805,1,3627.03205313,08:24:25:257421,10.86315746119908
6806,1,3627.032811952,08:24:25:258179,10.863904211199042
6807,1,3627.033540632,08:24:25:258908,10.864721696199013
6808,1,3627.034359775,08:24:25:259726,10.86545182619875
6809,1,3627.03504846,08:24:25:260414,10.866129032198842
6810,1,3627.043677845,08:24:25:269049,10.87472270319904
6811,1,3627.044505584,08:24:25:269874,10.875602709199029
6812,1,3627.045207094,08:24:25:270575,10.876297517198964
6813,1,3627.045963816,08:24:25:271451,10.87719926419868
6814,1,3627.046885731,08:24:25:272254,10.877986078198774
6815,1,3627.047563494,08:24:25:272930,10.878646257198852
6816,1,3627.048348781,08:24:25:273716,10.879434814198703
6817,1,3627.048995145,08:24:25:274362,10.880077981199065
6818,1,3627.049795565,08:24:25:275164,10.880941717198766
6819,1,3627.050624129,08:24:25:275993,10.881728257199029
6820,1,3627.051385472,08:24:25:276754,10.882548140199106
6821,1,3627.060043062,08:24:25:285413,10.891087056199012
6822,1,3627.060845552,08:24:25:286214,10.891941029198733
6823,1,3627.061529495,08:24:25:286896,10.892613431198697
6824,1,3627.062294989,08:24:25:287662,10.893378716199095
6825,1,3627.062968014,08:24:25:288335,10.894054387199049
6826,1,3627.063613526,08:24:25:288980,10.894693500199082
6827,1,3627.064255013,08:24:25:289622,10.895336718198905
6828,1,3627.064924513,08:24:25:290291,10.896007862198985
6829,1,3627.0656437,08:24:25:291012,10.896740462198977
6830,1,3627.066382473,08:24:25:291766,10.897502341199015
6831,1,3627.06715127,08:24:25:292520,10.898244079198776
6832,1,3627.076882106,08:24:25:302255,10.907927989198924
6833,1,3627.077702733,08:24:25:303072,10.908798473199113
6834,1,3627.078408624,08:24:25:303791,10.909526058198935
6835,1,3627.079210309,08:24:25:304579,10.910307547198954
6836,1,3627.080009054,08:24:25:305382,10.911126853198766
6837,1,3627.080831892,08:24:25:306200,10.91191930019886
6838,1,3627.081515245,08:24:25:306884,10.912610291198689
6839,1,3627.082195449,08:24:25:307564,10.913293258198792
6840,1,3627.082943941,08:24:25:308311,10.91402587419907
6841,1,3627.083594969,08:24:25:308962,10.914674863198798
6842,1,3627.084269701,08:24:25:309639,10.915364999199028
6843,1,3627.093372305,08:24:25:318744,10.924416739198932
6844,1,3627.094230284,08:24:25:319600,10.925362707198929
6845,1,3627.095030191,08:24:25:320399,10.926120299198828
6846,1,3627.095708413,08:24:25:321078,10.926803237198783
6847,1,3627.096457342,08:24:25:321832,10.927586673198675
6848,1,3627.097240253,08:24:25:322610,10.928340420198765
6849,1,3627.097915086,08:24:25:323283,10.92900226619895
6850,1,3627.098652049,08:24:25:324022,10.929752100199039
6851,1,3627.09939622,08:24:25:324819,10.93054455419906
6852,1,3627.100156585,08:24:25:325525,10.931240346199047
6853,1,3627.100873526,08:24:25:326243,10.93197203319869
6854,1,3627.11025118,08:24:25:335625,10.941296691199113
6855,1,3627.111173245,08:24:25:336574,10.94229123219884
6856,1,3627.111963057,08:24:25:337333,10.943055093198836
6857,1,3627.112683204,08:24:25:338053,10.943801233198883
6858,1,3627.11345087,08:24:25:338821,10.944545456198739
6859,1,3627.114192605,08:24:25:339562,10.94532203819881
6860,1,3627.115010907,08:24:25:340381,10.946119856198948
6861,1,3627.11575418,08:24:25:341124,10.946850019198791
6862,1,3627.116452943,08:24:25:341822,10.947537339198789
6863,1,3627.117200743,08:24:25:342569,10.9482934731991
6864,1,3627.117909333,08:24:25:343278,10.948989016198993
6865,1,3627.126717261,08:24:25:352089,10.95776171819898
6866,1,3627.127537709,08:24:25:352908,10.958630504198936
6867,1,3627.128283066,08:24:25:353657,10.959489397198922
6868,1,3627.129159825,08:24:25:354529,10.960300093198839
6869,1,3627.129989579,08:24:25:355360,10.961083550198964
6870,1,3627.130770764,08:24:25:356141,10.961937959199076
6871,1,3627.131587446,08:24:25:356956,10.962666671198804
6872,1,3627.132300459,08:24:25:357671,10.963455358199099
6873,1,3627.133138849,08:24:25:358509,10.964227316198958
6874,1,3627.133845906,08:24:25:359216,10.964934546198947
6875,1,3627.134566657,08:24:25:359936,10.965691338198667
6876,1,3627.143668341,08:24:25:369044,10.97471442019878
6877,1,3627.14452899,08:24:25:369899,10.975615593199109
6878,1,3627.145182367,08:24:25:370551,10.976264931198784
6879,1,3627.145876017,08:24:25:371245,10.976976422198732
6880,1,3627.146586099,08:24:25:371955,10.977665612198962
6881,1,3627.147223831,08:24:25:372592,10.978296981199037
