,loop_start_time,loop_end_time,loop_length
260,5176.132730707,5176.150179873,0.01744916600000579
261,5176.150185051,5176.166156473,0.01597142199989321
262,5176.166163117,5176.18260986,0.016446743000415154
263,5176.182616441,5176.2045648,0.021948358999907214
264,5176.204570084,5176.223352371,0.018782287000249198
265,5176.223363127,5176.232380398,0.009017270999720495
266,5176.232384968,5176.249264498,0.016879530000551313
267,5176.249269255,5176.266090875,0.016821619999973336
268,5176.266095724,5176.282654953,0.016559229000449704
269,5176.282661923,5176.29975093,0.017089007000322454
270,5176.299760262,5176.316231981,0.01647171900003741
271,5176.316236801,5176.332476808,0.016240007000305923
272,5176.33248205,5176.349432445,0.01695039500009443
273,5176.349439607,5176.365549363,0.01610975600033271
274,5176.365553887,5176.383379516,0.017825629000071785
275,5176.383388978,5176.399869011,0.016480033000334515
276,5176.39990644,5176.416425054,0.01651861399932386
277,5176.416431884,5176.433094121,0.01666223699976399
278,5176.433101443,5176.449662354,0.01656091099994228
279,5176.449669881,5176.467511594,0.01784171300005255
280,5176.467613437,5176.48392184,0.016308403000039107
281,5176.48392933,5176.4999494,0.01602007000019512
282,5176.499956636,5176.518425437,0.01846880099947157
283,5176.518431931,5176.532625047,0.014193115999660222
284,5176.532632378,5176.550026607,0.01739422900027421
285,5176.550034292,5176.565737681,0.015703389000009338
286,5176.565743682,5176.583576078,0.017832395999903383
287,5176.583581438,5176.59983892,0.016257482000582968
288,5176.599845676,5176.616342561,0.016496885000378825
289,5176.616348993,5176.6332451,0.01689610699941113
290,5176.63325305,5176.649703567,0.016450516999611864
291,5176.649710532,5176.669250318,0.019539785999768355
292,5176.669256491,5176.682493568,0.013237076999757846
293,5176.682500922,5176.699138978,0.016638055999464996
294,5176.699145895,5176.715967075,0.01682118000007904
295,5176.715972817,5176.732149353,0.01617653599987534
296,5176.732154174,5176.748833315,0.016679141000167874
297,5176.748837971,5176.765735518,0.016897546999643964
298,5176.765742852,5176.782128484,0.016385632000492478
299,5176.782132753,5176.799109691,0.016976937999970687
300,5176.799116554,5176.816356771,0.017240217000107805
301,5176.816361775,5176.832929873,0.016568097999879683
302,5176.832949797,5176.849375662,0.016425865000201156
303,5176.849382924,5176.883126931,0.03374400700067781
304,5176.883133926,5176.89941264,0.016278714000691252
305,5176.899419048,5176.915845884,0.01642683600039163
306,5176.915852643,5176.932540076,0.016687432999788143
307,5176.932546261,5176.94940918,0.016862918999322574
308,5176.949416047,5176.965894496,0.01647844899980555
309,5176.965901342,5176.982324034,0.016422692000560346
310,5176.982333457,5176.999366836,0.01703337900016777
311,5176.999373921,5177.015712535,0.01633861399932357
312,5177.015719878,5177.032266003,0.016546124999877065
313,5177.032270781,5177.049228796,0.016958014999545412
314,5177.0492334,5177.066121472,0.016888072000256216
315,5177.066126997,5177.082512238,0.016385241000534734
316,5177.082518654,5177.099556413,0.017037759000231745
317,5177.099564132,5177.116390821,0.016826689000481565
318,5177.116398438,5177.132493763,0.01609532499969646
319,5177.132499088,5177.149706565,0.01720747699982894
320,5177.149712604,5177.166108293,0.016395689000091807
321,5177.16611541,5177.183062295,0.016946884999924805
322,5177.183070507,5177.199313814,0.0162433069999679
323,5177.199321855,5177.215950562,0.016628707000563736
324,5177.215957061,5177.232506515,0.016549453999687103
325,5177.232513324,5177.249254448,0.016741123999963747
326,5177.24925952,5177.26577496,0.016515440000148374
327,5177.265779852,5177.283137878,0.017358025999783422
328,5177.28314474,5177.299611803,0.016467062999254267
329,5177.299618042,5177.316763582,0.017145540000456094
330,5177.31676961,5177.332946552,0.016176942000129202
