,audio_status,audio_status_time,audio_status_realtime
2853,1,10627.367521333,2022-06-13 23:04:16.666288
2854,1,10627.36817233,2022-06-13 23:04:16.666938
2855,1,10627.368824978,2022-06-13 23:04:16.667591
2856,1,10627.369456142,2022-06-13 23:04:16.668221
2857,1,10627.370081774,2022-06-13 23:04:16.668847
2858,1,10627.370709633,2022-06-13 23:04:16.669475
2859,1,10627.371523047,2022-06-13 23:04:16.670290
2860,1,10627.372204857,2022-06-13 23:04:16.670971
2861,1,10627.403428332,2022-06-13 23:04:16.702196
2862,1,10627.409361061,2022-06-13 23:04:16.708129
2863,1,10627.40997132,2022-06-13 23:04:16.708740
2864,1,10627.410708452,2022-06-13 23:04:16.709477
2865,1,10627.411327619,2022-06-13 23:04:16.710096
2866,1,10627.412030462,2022-06-13 23:04:16.710800
2867,1,10627.412728874,2022-06-13 23:04:16.711531
2868,1,10627.413477354,2022-06-13 23:04:16.712245
2869,1,10627.414128953,2022-06-13 23:04:16.712897
2870,1,10627.414807779,2022-06-13 23:04:16.713575
2871,1,10627.415503718,2022-06-13 23:04:16.714272
2872,1,10627.432046996,2022-06-13 23:04:16.730816
2873,1,10627.432898296,2022-06-13 23:04:16.731668
2874,1,10627.433500448,2022-06-13 23:04:16.732269
2875,1,10627.434174237,2022-06-13 23:04:16.732942
2876,1,10627.434904999,2022-06-13 23:04:16.733674
2877,1,10627.435558602,2022-06-13 23:04:16.734328
2878,1,10627.436346812,2022-06-13 23:04:16.735117
2879,1,10627.436989129,2022-06-13 23:04:16.735759
2880,1,10627.437656964,2022-06-13 23:04:16.736426
2881,1,10627.438405533,2022-06-13 23:04:16.737176
2882,1,10627.43918593,2022-06-13 23:04:16.737956
2883,1,10627.448689729,2022-06-13 23:04:16.747458
2884,1,10627.449634448,2022-06-13 23:04:16.748404
2885,1,10627.450267522,2022-06-13 23:04:16.749037
2886,1,10627.450932847,2022-06-13 23:04:16.749703
2887,1,10627.451574318,2022-06-13 23:04:16.750344
2888,1,10627.452256579,2022-06-13 23:04:16.751027
2889,1,10627.452939851,2022-06-13 23:04:16.751710
2890,1,10627.453608528,2022-06-13 23:04:16.752378
2891,1,10627.454296524,2022-06-13 23:04:16.753118
2892,1,10627.455066821,2022-06-13 23:04:16.753838
2893,1,10627.455711914,2022-06-13 23:04:16.754482
2894,1,10627.464978846,2022-06-13 23:04:16.763747
2895,1,10627.465841458,2022-06-13 23:04:16.764611
2896,1,10627.466512976,2022-06-13 23:04:16.765282
2897,1,10627.467184519,2022-06-13 23:04:16.765953
2898,1,10627.467849677,2022-06-13 23:04:16.766619
2899,1,10627.46850789,2022-06-13 23:04:16.767277
2900,1,10627.469169716,2022-06-13 23:04:16.767939
2901,1,10627.469816796,2022-06-13 23:04:16.768585
2902,1,10627.470468861,2022-06-13 23:04:16.769239
2903,1,10627.471184604,2022-06-13 23:04:16.769955
2904,1,10627.471843764,2022-06-13 23:04:16.770612
2905,1,10627.481234073,2022-06-13 23:04:16.780003
2906,1,10627.482031879,2022-06-13 23:04:16.780803
2907,1,10627.482677923,2022-06-13 23:04:16.781447
2908,1,10627.483350756,2022-06-13 23:04:16.782120
2909,1,10627.484025739,2022-06-13 23:04:16.782795
2910,1,10627.484685722,2022-06-13 23:04:16.783455
2911,1,10627.485322357,2022-06-13 23:04:16.784093
2912,1,10627.485986398,2022-06-13 23:04:16.784755
2913,1,10627.486641804,2022-06-13 23:04:16.785411
2914,1,10627.48727116,2022-06-13 23:04:16.786040
2915,1,10627.487920884,2022-06-13 23:04:16.786691
2916,1,10627.498113338,2022-06-13 23:04:16.796883
2917,1,10627.498832409,2022-06-13 23:04:16.797602
2918,1,10627.499468822,2022-06-13 23:04:16.798239
2919,1,10627.500135767,2022-06-13 23:04:16.798905
2920,1,10627.500801611,2022-06-13 23:04:16.799572
2921,1,10627.501475314,2022-06-13 23:04:16.800245
2922,1,10627.502149561,2022-06-13 23:04:16.800920
2923,1,10627.502825782,2022-06-13 23:04:16.801597
2924,1,10627.503458099,2022-06-13 23:04:16.802229
2925,1,10627.504169556,2022-06-13 23:04:16.802940
2926,1,10627.504872852,2022-06-13 23:04:16.803643
2927,1,10627.514954047,2022-06-13 23:04:16.813724
2928,1,10627.515817323,2022-06-13 23:04:16.814589
2929,1,10627.516563771,2022-06-13 23:04:16.815335
2930,1,10627.517318527,2022-06-13 23:04:16.816089
2931,1,10627.518013048,2022-06-13 23:04:16.816785
2932,1,10627.518694489,2022-06-13 23:04:16.817466
2933,1,10627.519361978,2022-06-13 23:04:16.818152
2934,1,10627.520102377,2022-06-13 23:04:16.818874
2935,1,10627.520722481,2022-06-13 23:04:16.819492
2936,1,10627.521344433,2022-06-13 23:04:16.820113
2937,1,10627.521989371,2022-06-13 23:04:16.820759
2938,1,10627.531436764,2022-06-13 23:04:16.830207
2939,1,10627.532209372,2022-06-13 23:04:16.830980
2940,1,10627.532902814,2022-06-13 23:04:16.831676
2941,1,10627.533573051,2022-06-13 23:04:16.832345
2942,1,10627.534250353,2022-06-13 23:04:16.833022
2943,1,10627.534896473,2022-06-13 23:04:16.833667
2944,1,10627.535535209,2022-06-13 23:04:16.834306
2945,1,10627.536155999,2022-06-13 23:04:16.834926
2946,1,10627.536803252,2022-06-13 23:04:16.835574
2947,1,10627.537431796,2022-06-13 23:04:16.836202
2948,1,10627.538085141,2022-06-13 23:04:16.836856
2949,1,10627.548455931,2022-06-13 23:04:16.847228
2950,1,10627.549279569,2022-06-13 23:04:16.848052
2951,1,10627.549947777,2022-06-13 23:04:16.848720
2952,1,10627.550634644,2022-06-13 23:04:16.849407
2953,1,10627.551306169,2022-06-13 23:04:16.850078
2954,1,10627.551976207,2022-06-13 23:04:16.850748
2955,1,10627.552631599,2022-06-13 23:04:16.851403
2956,1,10627.553302122,2022-06-13 23:04:16.852074
2957,1,10627.553957262,2022-06-13 23:04:16.852730
2958,1,10627.554686676,2022-06-13 23:04:16.853459
2959,1,10627.55538185,2022-06-13 23:04:16.854155
2960,1,10627.565374098,2022-06-13 23:04:16.864146
2961,1,10627.566153419,2022-06-13 23:04:16.864926
2962,1,10627.56675592,2022-06-13 23:04:16.865527
2963,1,10627.56738286,2022-06-13 23:04:16.866154
2964,1,10627.568013732,2022-06-13 23:04:16.866784
2965,1,10627.568687974,2022-06-13 23:04:16.867461
2966,1,10627.569302199,2022-06-13 23:04:16.868074
2967,1,10627.569964837,2022-06-13 23:04:16.868737
2968,1,10627.570587693,2022-06-13 23:04:16.869360
2969,1,10627.571202034,2022-06-13 23:04:16.869973
2970,1,10627.571828599,2022-06-13 23:04:16.870599
2971,1,10627.581745003,2022-06-13 23:04:16.880517
2972,1,10627.582534883,2022-06-13 23:04:16.881335
2973,1,10627.583262782,2022-06-13 23:04:16.882035
2974,1,10627.583898883,2022-06-13 23:04:16.882671
2975,1,10627.584577034,2022-06-13 23:04:16.883350
2976,1,10627.58518525,2022-06-13 23:04:16.883958
2977,1,10627.585811958,2022-06-13 23:04:16.884584
2978,1,10627.586479259,2022-06-13 23:04:16.885252
2979,1,10627.587093489,2022-06-13 23:04:16.885866
2980,1,10627.587733374,2022-06-13 23:04:16.886506
2981,1,10627.588346757,2022-06-13 23:04:16.887119
2982,1,10627.5982488,2022-06-13 23:04:16.897021
2983,1,10627.599020574,2022-06-13 23:04:16.897795
2984,1,10627.599723446,2022-06-13 23:04:16.898498
2985,1,10627.600476061,2022-06-13 23:04:16.899250
2986,1,10627.601159047,2022-06-13 23:04:16.899933
2987,1,10627.601860248,2022-06-13 23:04:16.900636
2988,1,10627.602603979,2022-06-13 23:04:16.901379
2989,1,10627.603304779,2022-06-13 23:04:16.902079
2990,1,10627.603921258,2022-06-13 23:04:16.902695
2991,1,10627.604546889,2022-06-13 23:04:16.903320
2992,1,10627.605182662,2022-06-13 23:04:16.903956
2993,1,10627.614934166,2022-06-13 23:04:16.913710
2994,1,10627.615641736,2022-06-13 23:04:16.914414
2995,1,10627.616289973,2022-06-13 23:04:16.915063
2996,1,10627.616924399,2022-06-13 23:04:16.915698
2997,1,10627.617593009,2022-06-13 23:04:16.916368
2998,1,10627.618192413,2022-06-13 23:04:16.916966
2999,1,10627.618832474,2022-06-13 23:04:16.917606
3000,1,10627.61945521,2022-06-13 23:04:16.918228
3001,1,10627.620101156,2022-06-13 23:04:16.918874
3002,1,10627.62079104,2022-06-13 23:04:16.919565
3003,1,10627.621466999,2022-06-13 23:04:16.920242
3004,1,10627.631842086,2022-06-13 23:04:16.930618
3005,1,10627.632646081,2022-06-13 23:04:16.931420
3006,1,10627.633285437,2022-06-13 23:04:16.932058
3007,1,10627.633916727,2022-06-13 23:04:16.932689
3008,1,10627.634574857,2022-06-13 23:04:16.933349
3009,1,10627.635243173,2022-06-13 23:04:16.934018
3010,1,10627.635924604,2022-06-13 23:04:16.934699
3011,1,10627.636624296,2022-06-13 23:04:16.935400
3012,1,10627.63728197,2022-06-13 23:04:16.936057
3013,1,10627.637901279,2022-06-13 23:04:16.936676
3014,1,10627.638541578,2022-06-13 23:04:16.937317
3015,1,10627.64844517,2022-06-13 23:04:16.947221
3016,1,10627.64928666,2022-06-13 23:04:16.948062
3017,1,10627.649979243,2022-06-13 23:04:16.948756
3018,1,10627.65062584,2022-06-13 23:04:16.949402
3019,1,10627.651273292,2022-06-13 23:04:16.950049
3020,1,10627.651956328,2022-06-13 23:04:16.950732
3021,1,10627.65259397,2022-06-13 23:04:16.951371
3022,1,10627.653308731,2022-06-13 23:04:16.952086
3023,1,10627.654049767,2022-06-13 23:04:16.952825
3024,1,10627.654735092,2022-06-13 23:04:16.953510
3025,1,10627.655346513,2022-06-13 23:04:16.954121
3026,1,10627.664826326,2022-06-13 23:04:16.963601
3027,1,10627.665635294,2022-06-13 23:04:16.964412
3028,1,10627.666298998,2022-06-13 23:04:16.965074
3029,1,10627.666981359,2022-06-13 23:04:16.965774
3030,1,10627.667717061,2022-06-13 23:04:16.966492
3031,1,10627.668366482,2022-06-13 23:04:16.967142
3032,1,10627.66898885,2022-06-13 23:04:16.967764
3033,1,10627.669618421,2022-06-13 23:04:16.968392
3034,1,10627.670247043,2022-06-13 23:04:16.969021
3035,1,10627.670913657,2022-06-13 23:04:16.969690
3036,1,10627.671551779,2022-06-13 23:04:16.970327
3037,1,10627.681593731,2022-06-13 23:04:16.980369
3038,1,10627.682341582,2022-06-13 23:04:16.981117
3039,1,10627.683022659,2022-06-13 23:04:16.981800
3040,1,10627.683715982,2022-06-13 23:04:16.982492
3041,1,10627.684396444,2022-06-13 23:04:16.983173
3042,1,10627.685034758,2022-06-13 23:04:16.983812
3043,1,10627.685705898,2022-06-13 23:04:16.984481
3044,1,10627.686417339,2022-06-13 23:04:16.985192
3045,1,10627.687054923,2022-06-13 23:04:16.985829
3046,1,10627.68768853,2022-06-13 23:04:16.986463
3047,1,10627.688321158,2022-06-13 23:04:16.987095
3048,1,10627.698539597,2022-06-13 23:04:16.997317
3049,1,10627.69936202,2022-06-13 23:04:16.998138
3050,1,10627.700084219,2022-06-13 23:04:16.998862
3051,1,10627.700743211,2022-06-13 23:04:16.999522
3052,1,10627.701406134,2022-06-13 23:04:17.000184
3053,1,10627.70211138,2022-06-13 23:04:17.000889
3054,1,10627.702790137,2022-06-13 23:04:17.001567
3055,1,10627.703465133,2022-06-13 23:04:17.002242
3056,1,10627.70417496,2022-06-13 23:04:17.002953
3057,1,10627.704889659,2022-06-13 23:04:17.003668
